==> Starting Consul agent...
               Version: '2.0.2'
            Build Date: '2026-07-08 09:22:50 +0000 UTC'
               Node ID: 'd1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6'
             Node name: 'node2'
            Datacenter: 'dc1' (Segment: '<all>')
                Server: true (Bootstrap: false)
           Client Addr: [127.0.0.1] (HTTP: 8510, HTTPS: -1, gRPC: 8512, gRPC-TLS: 8513, DNS: 8610)
          Cluster Addr: 127.0.0.1 (LAN: 8311, WAN: 8312)
     Gossip Encryption: false
      Auto-Encrypt-TLS: false
           ACL Enabled: false
     Reporting Enabled: false
    ACL Default Policy: allow
             HTTPS TLS: Verify Incoming: false, Verify Outgoing: false, Min Version: TLSv1_2
              gRPC TLS: Verify Incoming: false, Min Version: TLSv1_2
      Internal RPC TLS: Verify Incoming: false, Verify Outgoing: false (Verify Hostname: false), Min Version: TLSv1_2

==> Log data will now stream in as it occurs:

2026-08-28T16:46:50.845+0800 [WARN]  agent: bootstrap_expect > 0: expecting 3 servers
2026-08-28T16:46:51.158+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/multicluster/v2/exportedservices
2026-08-28T16:46:51.158+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/multicluster/v2/partitionexportedservices
2026-08-28T16:46:51.159+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v1/executive
2026-08-28T16:46:51.159+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v1/artist
2026-08-28T16:46:51.159+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v1/album
2026-08-28T16:46:51.159+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v2/festival
2026-08-28T16:46:51.159+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/multicluster/v2/namespaceexportedservices
2026-08-28T16:46:51.159+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/multicluster/v2/computedexportedservices
2026-08-28T16:46:51.159+0800 [INFO]  agent: Starting server: address=127.0.0.1:8510 network=tcp protocol=http
2026-08-28T16:46:51.160+0800 [INFO]  agent: Started gRPC listeners: port_name=grpc address=127.0.0.1:8512 network=tcp
2026-08-28T16:46:51.160+0800 [INFO]  agent: Started gRPC listeners: port_name=grpc_tls address=127.0.0.1:8513 network=tcp
2026-08-28T16:46:51.160+0800 [INFO]  agent: started state syncer
2026-08-28T16:46:51.160+0800 [INFO]  agent: Consul agent running!
2026-08-28T16:46:51.160+0800 [INFO]  agent: Retry join is supported for the following discovery methods: cluster=LAN discovery_methods="aliyun aws azure digitalocean gce k8s linode mdns os packet scaleway softlayer tencentcloud triton vsphere"
2026-08-28T16:46:51.161+0800 [INFO]  agent: Joining cluster...: cluster=LAN
2026-08-28T16:46:51.161+0800 [INFO]  agent: (LAN) joining: lan_addresses=["127.0.0.1:8301", "127.0.0.1:8311", "127.0.0.1:8321"]
2026-08-28T16:46:51.161+0800 [INFO]  agent.server.serf.wan: serf: EventMemberJoin: node1.dc1 127.0.0.1
2026-08-28T16:46:51.161+0800 [INFO]  agent.server.serf.lan: serf: EventMemberJoin: node1 127.0.0.1
2026-08-28T16:46:51.162+0800 [INFO]  agent.server: Adding LAN server: server="node1 (Addr: tcp/127.0.0.1:8300) (DC: dc1)"
2026-08-28T16:46:51.162+0800 [INFO]  agent.server: Handled event for server in area: event=member-join server=node1.dc1 area=wan
2026-08-28T16:46:51.162+0800 [INFO]  agent.server.serf.wan: serf: EventMemberJoin: dc2-server.dc2 127.0.0.1
2026-08-28T16:46:51.162+0800 [INFO]  agent.server.serf.lan: serf: EventMemberJoin: node3 127.0.0.1
2026-08-28T16:46:51.163+0800 [INFO]  agent.server: Adding LAN server: server="node3 (Addr: tcp/127.0.0.1:8320) (DC: dc1)"
2026-08-28T16:46:51.163+0800 [INFO]  agent.server: Handled event for server in area: event=member-join server=dc2-server.dc2 area=wan
2026-08-28T16:46:51.164+0800 [INFO]  agent.server.serf.wan: serf: EventMemberJoin: node3.dc1 127.0.0.1
2026-08-28T16:46:51.164+0800 [INFO]  agent.server: Handled event for server in area: event=member-join server=node3.dc1 area=wan
2026-08-28T16:46:51.164+0800 [INFO]  agent: (LAN) joined: number_of_nodes=3
2026-08-28T16:46:51.165+0800 [INFO]  agent: Join cluster completed. Synced with initial agents: cluster=LAN num_agents=3
2026-08-28T16:46:58.787+0800 [WARN]  agent.server.raft: heartbeat timeout reached, starting election: last-leader-addr= last-leader-id=
2026-08-28T16:46:58.788+0800 [INFO]  agent.server.raft: entering candidate state: node="Node at 127.0.0.1:8310 [Candidate]" term=5
2026-08-28T16:46:58.788+0800 [INFO]  agent.server.raft: pre-vote successful, starting election: term=5 tally=1 refused=0 votesNeeded=1
2026-08-28T16:46:58.790+0800 [INFO]  agent.server.raft: election won: term=5 tally=1
2026-08-28T16:46:58.790+0800 [INFO]  agent.server.raft: entering leader state: leader="Node at 127.0.0.1:8310 [Leader]"
2026-08-28T16:46:58.791+0800 [INFO]  agent.server: cluster leadership acquired
2026-08-28T16:46:58.791+0800 [INFO]  agent.server: New leader elected: payload=node2
2026-08-28T16:46:58.796+0800 [INFO]  agent.server.autopilot: reconciliation now enabled
2026-08-28T16:46:58.796+0800 [INFO]  agent.leader: started routine: routine="federation state anti-entropy"
2026-08-28T16:46:58.796+0800 [INFO]  agent.leader: started routine: routine="federation state pruning"
2026-08-28T16:46:58.796+0800 [INFO]  agent.leader: started routine: routine="streaming peering resources"
2026-08-28T16:46:58.797+0800 [INFO]  agent.leader: started routine: routine="metrics for streaming peering resources"
2026-08-28T16:46:58.797+0800 [INFO]  agent.leader: started routine: routine="peering deferred deletion"
2026-08-28T16:46:58.797+0800 [INFO]  connect.ca: initialized primary datacenter CA from existing CARoot with provider: provider=consul
2026-08-28T16:46:58.797+0800 [INFO]  agent.leader: started routine: routine="intermediate cert renew watch"
2026-08-28T16:46:58.797+0800 [INFO]  agent.leader: started routine: routine="CA root pruning"
2026-08-28T16:46:58.797+0800 [INFO]  agent.leader: started routine: routine="CA root expiration metric"
2026-08-28T16:46:58.797+0800 [INFO]  agent.leader: started routine: routine="CA signing expiration metric"
2026-08-28T16:46:58.798+0800 [INFO]  agent.leader: started routine: routine="virtual IP version check"
2026-08-28T16:46:58.798+0800 [INFO]  agent.leader: started routine: routine="config entry controllers"
2026-08-28T16:46:58.798+0800 [INFO]  agent.leader: stopping routine: routine="virtual IP version check"
2026-08-28T16:46:58.798+0800 [INFO]  agent.leader: stopped routine: routine="virtual IP version check"
2026-08-28T16:46:58.798+0800 [INFO]  agent.server.raft: updating configuration: command=AddNonvoter server-id=4c58e505-e902-3d6c-0f52-0e69470dd053 server-addr=127.0.0.1:8320 servers="[{Suffrage:Voter ID:d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 Address:127.0.0.1:8310} {Suffrage:Nonvoter ID:4c58e505-e902-3d6c-0f52-0e69470dd053 Address:127.0.0.1:8320}]"
2026-08-28T16:46:58.799+0800 [INFO]  agent.server.raft: added peer, starting replication: peer=4c58e505-e902-3d6c-0f52-0e69470dd053
2026-08-28T16:46:58.799+0800 [INFO]  agent.server: member joined, marking health alive: member=node3 partition=default
2026-08-28T16:46:58.801+0800 [INFO]  agent.server.raft: updating configuration: command=AddNonvoter server-id=b314f654-a82a-46fd-1d23-6cd76578036c server-addr=127.0.0.1:8300 servers="[{Suffrage:Voter ID:d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 Address:127.0.0.1:8310} {Suffrage:Nonvoter ID:4c58e505-e902-3d6c-0f52-0e69470dd053 Address:127.0.0.1:8320} {Suffrage:Nonvoter ID:b314f654-a82a-46fd-1d23-6cd76578036c Address:127.0.0.1:8300}]"
2026-08-28T16:46:58.801+0800 [WARN]  agent.server.raft: appendEntries rejected, sending older logs: peer="{Nonvoter 4c58e505-e902-3d6c-0f52-0e69470dd053 127.0.0.1:8320}" next=137
2026-08-28T16:46:58.802+0800 [INFO]  agent.server.raft: added peer, starting replication: peer=b314f654-a82a-46fd-1d23-6cd76578036c
2026-08-28T16:46:58.802+0800 [INFO]  agent.server: member joined, marking health alive: member=node1 partition=default
2026-08-28T16:46:58.803+0800 [INFO]  agent.server.raft: pipelining replication: peer="{Nonvoter 4c58e505-e902-3d6c-0f52-0e69470dd053 127.0.0.1:8320}"
2026-08-28T16:46:58.804+0800 [WARN]  agent.server.raft: appendEntries rejected, sending older logs: peer="{Nonvoter b314f654-a82a-46fd-1d23-6cd76578036c 127.0.0.1:8300}" next=133
2026-08-28T16:46:58.806+0800 [INFO]  agent.server.raft: pipelining replication: peer="{Nonvoter b314f654-a82a-46fd-1d23-6cd76578036c 127.0.0.1:8300}"
2026-08-28T16:47:01.911+0800 [INFO]  agent: Synced node info
2026-08-28T16:47:11.157+0800 [INFO]  agent.server.autopilot: Promoting server: id=4c58e505-e902-3d6c-0f52-0e69470dd053 address=127.0.0.1:8320 name=node3
2026-08-28T16:47:11.159+0800 [INFO]  agent.server.raft: updating configuration: command=AddVoter server-id=4c58e505-e902-3d6c-0f52-0e69470dd053 server-addr=127.0.0.1:8320 servers="[{Suffrage:Voter ID:d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 Address:127.0.0.1:8310} {Suffrage:Voter ID:4c58e505-e902-3d6c-0f52-0e69470dd053 Address:127.0.0.1:8320} {Suffrage:Nonvoter ID:b314f654-a82a-46fd-1d23-6cd76578036c Address:127.0.0.1:8300}]"
2026-08-28T16:47:11.160+0800 [INFO]  agent.server.autopilot: Promoting server: id=b314f654-a82a-46fd-1d23-6cd76578036c address=127.0.0.1:8300 name=node1
2026-08-28T16:47:11.160+0800 [INFO]  agent.server.raft: updating configuration: command=AddVoter server-id=b314f654-a82a-46fd-1d23-6cd76578036c server-addr=127.0.0.1:8300 servers="[{Suffrage:Voter ID:d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 Address:127.0.0.1:8310} {Suffrage:Voter ID:4c58e505-e902-3d6c-0f52-0e69470dd053 Address:127.0.0.1:8320} {Suffrage:Voter ID:b314f654-a82a-46fd-1d23-6cd76578036c Address:127.0.0.1:8300}]"
2026-08-28T16:48:11.154+0800 [INFO]  agent.server.memberlist.wan: memberlist: Suspect dc2-server.dc2 has failed, no acks received
2026-08-28T16:48:26.154+0800 [INFO]  agent.server.memberlist.wan: memberlist: Suspect dc2-server.dc2 has failed, no acks received
2026-08-28T16:48:32.914+0800 [INFO]  agent.server.serf.wan: serf: EventMemberUpdate: dc2-server.dc2
2026-08-28T16:48:32.914+0800 [INFO]  agent.server: Handled event for server in area: event=member-update server=dc2-server.dc2 area=wan
2026-08-28T16:48:51.155+0800 [WARN]  agent: [core][Channel #1 SubChannel #12] grpc: addrConn.createTransport failed to connect to {Addr: "dc1-127.0.0.1:8320", ServerName: "node3", }. Err: connection error: desc = "transport: failed to write client preface: write tcp 127.0.0.1:62907->127.0.0.1:8320: use of closed network connection"
2026-08-28T16:57:17.654+0800 [INFO]  agent.server.serf.wan: serf: EventMemberLeave: node1.dc1 127.0.0.1
2026-08-28T16:57:17.654+0800 [INFO]  agent.server: Handled event for server in area: event=member-leave server=node1.dc1 area=wan
2026-08-28T16:57:21.354+0800 [INFO]  agent.server.serf.lan: serf: EventMemberLeave: node1 127.0.0.1
2026-08-28T16:57:21.355+0800 [INFO]  agent.server: Removing LAN server: server="node1 (Addr: tcp/127.0.0.1:8300) (DC: dc1)"
2026-08-28T16:57:21.356+0800 [INFO]  agent.server.raft: updating configuration: command=RemoveServer server-id=b314f654-a82a-46fd-1d23-6cd76578036c server-addr= servers="[{Suffrage:Voter ID:d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 Address:127.0.0.1:8310} {Suffrage:Voter ID:4c58e505-e902-3d6c-0f52-0e69470dd053 Address:127.0.0.1:8320}]"
2026-08-28T16:57:21.357+0800 [INFO]  agent.server.raft: removed peer, stopping replication: peer=b314f654-a82a-46fd-1d23-6cd76578036c last-index=234
2026-08-28T16:57:21.359+0800 [INFO]  agent.server.autopilot: removed server: id=b314f654-a82a-46fd-1d23-6cd76578036c
2026-08-28T16:57:21.359+0800 [INFO]  agent.server.raft: aborting pipeline replication: peer="{Nonvoter b314f654-a82a-46fd-1d23-6cd76578036c 127.0.0.1:8300}"
2026-08-28T16:57:21.359+0800 [INFO]  agent.server: deregistering member: member=node1 partition=default reason=left
2026-08-28T16:57:29.963+0800 [INFO]  agent.server: server starting leave
2026-08-28T16:57:29.965+0800 [WARN]  agent.server.controller-runtime: error received from watch: controller=consul.io/reaper-controller managed_type=internal.v1.Tombstone error="rpc error: code = Canceled desc = context canceled"
2026-08-28T16:57:29.965+0800 [WARN]  agent.server.controller-runtime: error received from watch: controller=consul.io/exported-services-v1-compat managed_type=multicluster.v2.ComputedExportedServices error="rpc error: code = Canceled desc = context canceled"
2026-08-28T16:57:29.965+0800 [WARN]  agent.server.controller-runtime: error received from watch: controller=consul.io/exported-services-v1-compat managed_type=multicluster.v2.ComputedExportedServices error="rpc error: code = Canceled desc = context canceled"
2026-08-28T16:57:29.965+0800 [WARN]  agent.server.controller-runtime: error received from watch: controller=consul.io/exported-services-v1-compat managed_type=multicluster.v2.ComputedExportedServices error="rpc error: code = Canceled desc = context canceled"
2026-08-28T16:57:29.965+0800 [WARN]  agent.server.controller-runtime: error received from watch: controller=consul.io/exported-services-v1-compat managed_type=multicluster.v2.ComputedExportedServices error="rpc error: code = Canceled desc = context canceled"
2026-08-28T16:57:29.967+0800 [INFO]  agent.server.raft: entering follower state: follower="Node at 127.0.0.1:8310 [Follower]" leader-address= leader-id=
2026-08-28T16:57:29.967+0800 [INFO]  agent.server.raft: aborting pipeline replication: peer="{Nonvoter 4c58e505-e902-3d6c-0f52-0e69470dd053 127.0.0.1:8320}"
2026-08-28T16:57:29.967+0800 [INFO]  agent.leader: stopped routine: routine="CA root pruning"
2026-08-28T16:57:29.967+0800 [INFO]  agent.leader: stopped routine: routine="intermediate cert renew watch"
2026-08-28T16:57:29.967+0800 [INFO]  agent.leader: stopped routine: routine="CA root expiration metric"
2026-08-28T16:57:29.967+0800 [INFO]  agent.leader: stopped routine: routine="peering deferred deletion"
2026-08-28T16:57:29.967+0800 [INFO]  agent.server.peering_metrics: stopping peering metrics
2026-08-28T16:57:29.968+0800 [INFO]  agent.leader: stopped routine: routine="metrics for streaming peering resources"
2026-08-28T16:57:29.967+0800 [INFO]  agent.leader: stopped routine: routine="streaming peering resources"
2026-08-28T16:57:29.967+0800 [INFO]  agent.leader: stopped routine: routine="federation state pruning"
2026-08-28T16:57:29.967+0800 [INFO]  agent.server.autopilot: reconciliation now disabled
2026-08-28T16:57:29.967+0800 [INFO]  agent.leader: stopped routine: routine="CA signing expiration metric"
2026-08-28T16:57:29.967+0800 [INFO]  agent.leader: stopped routine: routine="config entry controllers"
2026-08-28T16:57:29.969+0800 [INFO]  agent.server: cluster leadership lost
2026-08-28T16:57:30.154+0800 [INFO]  agent.server: New leader elected: payload=node3
2026-08-28T16:57:30.653+0800 [INFO]  agent.server.serf.wan: serf: EventMemberLeave: node2.dc1 127.0.0.1
2026-08-28T16:57:30.663+0800 [INFO]  agent.server: Handled event for server in area: event=member-leave server=node2.dc1 area=wan
2026-08-28T16:57:34.554+0800 [INFO]  agent.server.serf.lan: serf: EventMemberLeave: node2 127.0.0.1
2026-08-28T16:57:34.555+0800 [INFO]  agent.server: Removing LAN server: server="node2 (Addr: tcp/127.0.0.1:8310) (DC: dc1)"
2026-08-28T16:57:34.638+0800 [WARN]  agent.server.raft: unable to get address for server, using fallback address: id=d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 fallback=127.0.0.1:8310 error="Could not find address for server id d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6"
2026-08-28T16:57:34.710+0800 [WARN]  agent.server.raft: unable to get address for server, using fallback address: id=d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 fallback=127.0.0.1:8310 error="Could not find address for server id d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6"
2026-08-28T16:57:34.756+0800 [WARN]  agent.server.raft: unable to get address for server, using fallback address: id=d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 fallback=127.0.0.1:8310 error="Could not find address for server id d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6"
2026-08-28T16:57:34.757+0800 [WARN]  agent.server.raft: unable to get address for server, using fallback address: id=d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 fallback=127.0.0.1:8310 error="Could not find address for server id d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6"
2026-08-28T16:57:38.355+0800 [INFO]  agent.server: Waiting to drain RPC traffic: drain_time=5s
2026-08-28T16:57:43.415+0800 [INFO]  agent: Requesting shutdown
2026-08-28T16:57:43.416+0800 [INFO]  agent.server: shutting down server
2026-08-28T16:57:43.416+0800 [ERROR] agent.server: error performing anti-entropy sync of federation state: error="context canceled"
2026-08-28T16:57:43.416+0800 [INFO]  agent.leader: stopped routine: routine="federation state anti-entropy"
2026-08-28T16:57:43.417+0800 [INFO]  agent.router.manager: shutting down
2026-08-28T16:57:43.417+0800 [INFO]  agent.router.manager: shutting down
2026-08-28T16:57:43.417+0800 [INFO]  agent.router.manager: shutting down
2026-08-28T16:57:43.418+0800 [INFO]  agent: consul server down
2026-08-28T16:57:43.418+0800 [INFO]  agent: shutdown complete
2026-08-28T16:57:43.418+0800 [INFO]  agent.dns: Stopping server: protocol=DNS address=127.0.0.1:8610 network=tcp
2026-08-28T16:57:43.418+0800 [INFO]  agent.dns: Stopping server: protocol=DNS address=127.0.0.1:8610 network=udp
2026-08-28T16:57:43.419+0800 [INFO]  agent: Stopping server: address=127.0.0.1:8510 network=tcp protocol=http
2026-08-28T16:57:43.419+0800 [INFO]  agent: Waiting for endpoints to shut down
2026-08-28T16:57:43.419+0800 [INFO]  agent: Endpoints down
2026-08-28T16:57:43.419+0800 [INFO]  agent: Exit code: code=0
